"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"DONNAS";2168;1067;1731;881;35;"IL POPOLO DELLA LIBERTA'";228,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"DONNAS";2168;1067;1731;881;35;"VALLEE D'AOSTE";543,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"DONNAS";2168;1067;1731;881;35;"AUT.LIB. DEMOCRATIE";781,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"DONNAS";2168;1067;1731;881;35;"LEGA NORD";43,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"DOUES";355;175;304;151;8;"AZ.SOCIALE MUSSOLINI";2,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"DOUES";355;175;304;151;8;"IL POPOLO DELLA LIBERTA'";19,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"DOUES";355;175;304;151;8;"VALLEE D'AOSTE";180,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"DOUES";355;175;304;151;8;"AUT.LIB. DEMOCRATIE";88,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"DOUES";355;175;304;151;8;"LEGA NORD";5,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"EMARESE";171;93;138;75;6;"AZ.SOCIALE MUSSOLINI";2,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"EMARESE";171;93;138;75;6;"IL POPOLO DELLA LIBERTA'";11,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"EMARESE";171;93;138;75;6;"VALLEE D'AOSTE";60,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"EMARESE";171;93;138;75;6;"AUT.LIB. DEMOCRATIE";50,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"EMARESE";171;93;138;75;6;"LEGA NORD";7,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"ETROUBLES";373;188;294;149;12;"AZ.SOCIALE MUSSOLINI";5,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"ETROUBLES";373;188;294;149;12;"IL POPOLO DELLA LIBERTA'";32,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"ETROUBLES";373;188;294;149;12;"VALLEE D'AOSTE";133,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"ETROUBLES";373;188;294;149;12;"AUT.LIB. DEMOCRATIE";100,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"ETROUBLES";373;188;294;149;12;"LEGA NORD";6,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"FENIS";1369;685;1117;570;19;"AZ.SOCIALE MUSSOLINI";14,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"FENIS";1369;685;1117;570;19;"IL POPOLO DELLA LIBERTA'";100,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"FENIS";1369;685;1117;570;19;"VALLEE D'AOSTE";499,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"FENIS";1369;685;1117;570;19;"AUT.LIB. DEMOCRATIE";431,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"FENIS";1369;685;1117;570;19;"LEGA NORD";20,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"FONTAINEMORE";368;183;275;145;9;"AZ.SOCIALE MUSSOLINI";0,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"FONTAINEMORE";368;183;275;145;9;"IL POPOLO DELLA LIBERTA'";24,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"FONTAINEMORE";368;183;275;145;9;"VALLEE D'AOSTE";80,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"FONTAINEMORE";368;183;275;145;9;"AUT.LIB. DEMOCRATIE";153,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"FONTAINEMORE";368;183;275;145;9;"LEGA NORD";5,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"GABY";413;218;352;186;7;"AZ.SOCIALE MUSSOLINI";7,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"GABY";413;218;352;186;7;"IL POPOLO DELLA LIBERTA'";51,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"GABY";413;218;352;186;7;"VALLEE D'AOSTE";140,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"GABY";413;218;352;186;7;"AUT.LIB. DEMOCRATIE";117,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"GABY";413;218;352;186;7;"LEGA NORD";22,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"GIGNOD";1114;543;852;427;26;"AZ.SOCIALE MUSSOLINI";8,00;"N";"BORLUZZI";"GIANCARLO";"M"
"VALLE D'AOSTA";"GIGNOD";1114;543;852;427;26;"IL POPOLO DELLA LIBERTA'";112,00;"N";"GAMBARDELLA";"GIUSEPPE";"M"
"VALLE D'AOSTA";"GIGNOD";1114;543;852;427;26;"VALLEE D'AOSTE";333,00;"N";"PERRON";"EGO";"M"
"VALLE D'AOSTA";"GIGNOD";1114;543;852;427;26;"AUT.LIB. DEMOCRATIE";314,00;"E";"NICCO";"ROBERTO ROLANDO";"M"
"VALLE D'AOSTA";"GIGNOD";1114;543;852;427;26;"LEGA NORD";19,00;"N";"GIOVANNACCI";"PATRIZIO";"M"
"VALLE D'AOSTA";"GRESSAN";2501;1264;2055;1040;59;"AZ.SOCIALE MUSSOLINI";20,00;"N";"BORLUZZI";"GIANCARLO";"M"
