"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SKBIANCHE";"NUMVOTISI";"NUMVOTINO"
"LOMBARDIA";"BERGAMO";"5";"Incarichi extragiudiziari dei magistrati";797388;386779;"257062";"126304";"27108";"161385";60845
"LOMBARDIA";"BERGAMO";"3";"Elezione del Consiglio Superiore della Magistratura";797388;386779;"255916";"125630";"35176";"141934";69593
"LOMBARDIA";"BERGAMO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";797388;386779;"260294";"128123";"24996";"171295";55936
"LOMBARDIA";"BERGAMO";"1";"Rimborso spese per consultazioni elettorali e referendarie";797388;386779;"258714";"127158";"21375";"156120";71095
"LOMBARDIA";"BERGAMO";"6";"Licenziamenti";797388;386779;"261840";"128850";"13328";"78803";164464
"EMILIA-ROMAGNA";"BOLOGNA";"6";"Licenziamenti";789352;374862;"403014";"195748";"15348";"96191";286478
"EMILIA-ROMAGNA";"BOLOGNA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";789352;374862;"394298";"191526";"38560";"166387";182616
"EMILIA-ROMAGNA";"BOLOGNA";"5";"Incarichi extragiudiziari dei magistrati";789352;374862;"390026";"189475";"48366";"203306";130492
"EMILIA-ROMAGNA";"BOLOGNA";"4";"Ordinamento giudiziario";789352;374862;"389970";"189413";"46892";"171120";163670
"EMILIA-ROMAGNA";"BOLOGNA";"3";"Elezione del Consiglio Superiore della Magistratura";789352;374862;"388015";"188504";"61701";"172729";143448
"EMILIA-ROMAGNA";"BOLOGNA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";789352;374862;"402075";"195476";"21723";"320365";52765
"EMILIA-ROMAGNA";"BOLOGNA";"1";"Rimborso spese per consultazioni elettorali e referendarie";789352;374862;"394368";"191616";"32156";"193601";162019
"TRENTINO A.A.";"BOLZANO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";376030;183442;"121256";"59960";"17402";"52025";49936
"TRENTINO A.A.";"BOLZANO";"1";"Rimborso spese per consultazioni elettorali e referendarie";376030;183442;"121973";"60291";"12175";"63720";43244
"TRENTINO A.A.";"BOLZANO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";376030;183442;"121471";"60070";"16432";"60502";42691
"TRENTINO A.A.";"BOLZANO";"3";"Elezione del Consiglio Superiore della Magistratura";376030;183442;"120514";"59561";"17693";"78132";22397
"TRENTINO A.A.";"BOLZANO";"4";"Ordinamento giudiziario";376030;183442;"120656";"59647";"15305";"81007";22203
"TRENTINO A.A.";"BOLZANO";"5";"Incarichi extragiudiziari dei magistrati";376030;183442;"120830";"59715";"14952";"83816";20197
