"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"AYMAVILLES";1596;793;1238;629;22;"LEGA NORD";39,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"BARD";111;56;91;44;1;"UNION VALDOTAINE PROGRESSISTE";26,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"BARD";111;56;91;44;1;"FRATELLI D'ITALIA";6,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"BARD";111;56;91;44;1;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";10,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"BARD";111;56;91;44;1;"AUTONOMIE LIBERTE' DEMOCRATIE";9,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"BARD";111;56;91;44;1;"NATION VAL D'OUTA";0,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"BARD";111;56;91;44;1;"FARE PER FERMARE IL DECLINO";1,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"BARD";111;56;91;44;1;"VALLEE D'AOSTE";34,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"BARD";111;56;91;44;1;"UNIONE DI CENTRO";1,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"BARD";111;56;91;44;1;"CASAPOUND ITALIA";0,00;"N";"LADU";"ANDREA";"M"
"VALLE D'AOSTA";"BARD";111;56;91;44;1;"LEGA NORD";1,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"BIONAZ";183;94;159;84;2;"UNION VALDOTAINE PROGRESSISTE";55,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"BIONAZ";183;94;159;84;2;"FRATELLI D'ITALIA";3,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"BIONAZ";183;94;159;84;2;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";26,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"BIONAZ";183;94;159;84;2;"AUTONOMIE LIBERTE' DEMOCRATIE";14,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"BIONAZ";183;94;159;84;2;"NATION VAL D'OUTA";0,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"BIONAZ";183;94;159;84;2;"FARE PER FERMARE IL DECLINO";1,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"BIONAZ";183;94;159;84;2;"VALLEE D'AOSTE";47,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"BIONAZ";183;94;159;84;2;"UNIONE DI CENTRO";1,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"BIONAZ";183;94;159;84;2;"CASAPOUND ITALIA";1,00;"N";"LADU";"ANDREA";"M"
"VALLE D'AOSTA";"BIONAZ";183;94;159;84;2;"LEGA NORD";2,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"BRISSOGNE";809;419;674;363;17;"UNION VALDOTAINE PROGRESSISTE";168,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"BRISSOGNE";809;419;674;363;17;"FRATELLI D'ITALIA";28,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"BRISSOGNE";809;419;674;363;17;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";148,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"BRISSOGNE";809;419;674;363;17;"AUTONOMIE LIBERTE' DEMOCRATIE";108,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"BRISSOGNE";809;419;674;363;17;"NATION VAL D'OUTA";2,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"BRISSOGNE";809;419;674;363;17;"FARE PER FERMARE IL DECLINO";2,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"BRISSOGNE";809;419;674;363;17;"VALLEE D'AOSTE";152,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"BRISSOGNE";809;419;674;363;17;"UNIONE DI CENTRO";5,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"BRISSOGNE";809;419;674;363;17;"CASAPOUND ITALIA";4,00;"N";"LADU";"ANDREA";"M"
"VALLE D'AOSTA";"BRISSOGNE";809;419;674;363;17;"LEGA NORD";17,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"BRUSSON";686;328;531;263;11;"UNION VALDOTAINE PROGRESSISTE";173,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"BRUSSON";686;328;531;263;11;"FRATELLI D'ITALIA";10,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"BRUSSON";686;328;531;263;11;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";72,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"BRUSSON";686;328;531;263;11;"AUTONOMIE LIBERTE' DEMOCRATIE";33,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"BRUSSON";686;328;531;263;11;"NATION VAL D'OUTA";0,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"BRUSSON";686;328;531;263;11;"FARE PER FERMARE IL DECLINO";3,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"BRUSSON";686;328;531;263;11;"VALLEE D'AOSTE";187,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"BRUSSON";686;328;531;263;11;"UNIONE DI CENTRO";2,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"BRUSSON";686;328;531;263;11;"CASAPOUND ITALIA";3,00;"N";"LADU";"ANDREA";"M"
"VALLE D'AOSTA";"BRUSSON";686;328;531;263;11;"LEGA NORD";23,00;"N";"SPELGATTI";"NICOLETTA";"F"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";593;289;466;236;15;"UNION VALDOTAINE PROGRESSISTE";127,00;"N";"VIERIN";"LAURENT";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";593;289;466;236;15;"FRATELLI D'ITALIA";12,00;"N";"MELONI";"GIORGIA";"F"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";593;289;466;236;15;"MOVIMENTO 5 STELLE BEPPEGRILLO.IT";38,00;"N";"COGNETTA";"ROBERTO UGO MASSIMO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";593;289;466;236;15;"AUTONOMIE LIBERTE' DEMOCRATIE";40,00;"N";"GUICHARDAZ";"JEAN PIERRE";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";593;289;466;236;15;"NATION VAL D'OUTA";0,00;"N";"CAMPION";"EROS";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";593;289;466;236;15;"FARE PER FERMARE IL DECLINO";0,00;"N";"BUILLET";"FABRIZIO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";593;289;466;236;15;"VALLEE D'AOSTE";178,00;"E";"MARGUERETTAZ";"RUDI FRANCO";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";593;289;466;236;15;"UNIONE DI CENTRO";7,00;"N";"BRINGHEN";"LUCA";"M"
"VALLE D'AOSTA";"CHALLAND-SAINT-ANSELME";593;289;466;236;15;"CASAPOUND ITALIA";1,00;"N";"LADU";"ANDREA";"M"
