"COLLEGIO";"COMUNE";"ELETTORI_TOTALI";"ELETTORI_MASCHI";"VOTANTI_TOTALI";"VOTANTI_MASCHI";"SCHEDE_BIANCHE";"LISTA";"VOTI_LISTA";"ELETTO";"COGNOME";"NOME";"SESSO"
"VALLE D'AOSTA";"CHAMBAVE";751;378;668;341;25;"LEGA NORD V.D'AOSTE";8,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"CHAMBAVE";751;378;668;341;25;"AUT.LIB. DEMOCRATIE";411,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"CHAMOIS";85;44;72;37;11;"FIAMMA TRICOLORE";0,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"CHAMOIS";85;44;72;37;11;"VALLEE D'AOSTE";16,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"CHAMOIS";85;44;72;37;11;"ALTERNATIVA SOCIALE MUSSOLINI";0,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"CHAMOIS";85;44;72;37;11;"UNIONE DI CENTRO";0,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"CHAMOIS";85;44;72;37;11;"FI-AN";9,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"CHAMOIS";85;44;72;37;11;"PARTITO PENSIONATI";1,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"CHAMOIS";85;44;72;37;11;"LEGA NORD V.D'AOSTE";1,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"CHAMOIS";85;44;72;37;11;"AUT.LIB. DEMOCRATIE";33,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";544;268;472;245;9;"FIAMMA TRICOLORE";3,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";544;268;472;245;9;"VALLEE D'AOSTE";189,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";544;268;472;245;9;"ALTERNATIVA SOCIALE MUSSOLINI";4,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"CHAMPDEPRAZ";544;268;472;245;9;"UNIONE DI CENTRO";2,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"CHAMPDEPRAZ";544;268;472;245;9;"FI-AN";36,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";544;268;472;245;9;"PARTITO PENSIONATI";3,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";544;268;472;245;9;"LEGA NORD V.D'AOSTE";12,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"CHAMPDEPRAZ";544;268;472;245;9;"AUT.LIB. DEMOCRATIE";198,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"CHAMPORCHER";353;178;295;157;15;"FIAMMA TRICOLORE";1,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"CHAMPORCHER";353;178;295;157;15;"VALLEE D'AOSTE";105,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"CHAMPORCHER";353;178;295;157;15;"ALTERNATIVA SOCIALE MUSSOLINI";5,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"CHAMPORCHER";353;178;295;157;15;"UNIONE DI CENTRO";11,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"CHAMPORCHER";353;178;295;157;15;"FI-AN";27,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"CHAMPORCHER";353;178;295;157;15;"PARTITO PENSIONATI";1,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"CHAMPORCHER";353;178;295;157;15;"LEGA NORD V.D'AOSTE";4,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"CHAMPORCHER";353;178;295;157;15;"AUT.LIB. DEMOCRATIE";120,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"CHARVENSOD";1869;938;1586;808;46;"FIAMMA TRICOLORE";6,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"CHARVENSOD";1869;938;1586;808;46;"VALLEE D'AOSTE";530,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"CHARVENSOD";1869;938;1586;808;46;"ALTERNATIVA SOCIALE MUSSOLINI";32,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"CHARVENSOD";1869;938;1586;808;46;"UNIONE DI CENTRO";29,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"CHARVENSOD";1869;938;1586;808;46;"FI-AN";205,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"CHARVENSOD";1869;938;1586;808;46;"PARTITO PENSIONATI";18,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"CHARVENSOD";1869;938;1586;808;46;"LEGA NORD V.D'AOSTE";27,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"CHARVENSOD";1869;938;1586;808;46;"AUT.LIB. DEMOCRATIE";635,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"CHATILLON";3886;1878;3303;1602;89;"FIAMMA TRICOLORE";19,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"CHATILLON";3886;1878;3303;1602;89;"VALLEE D'AOSTE";754,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"CHATILLON";3886;1878;3303;1602;89;"ALTERNATIVA SOCIALE MUSSOLINI";71,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"CHATILLON";3886;1878;3303;1602;89;"UNIONE DI CENTRO";66,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"CHATILLON";3886;1878;3303;1602;89;"FI-AN";583,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"CHATILLON";3886;1878;3303;1602;89;"PARTITO PENSIONATI";63,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"CHATILLON";3886;1878;3303;1602;89;"LEGA NORD V.D'AOSTE";77,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"CHATILLON";3886;1878;3303;1602;89;"AUT.LIB. DEMOCRATIE";1452,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"COGNE";1206;591;982;498;43;"FIAMMA TRICOLORE";7,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"COGNE";1206;591;982;498;43;"VALLEE D'AOSTE";248,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"COGNE";1206;591;982;498;43;"ALTERNATIVA SOCIALE MUSSOLINI";12,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"COGNE";1206;591;982;498;43;"UNIONE DI CENTRO";21,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"COGNE";1206;591;982;498;43;"FI-AN";205,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"COGNE";1206;591;982;498;43;"PARTITO PENSIONATI";9,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"COGNE";1206;591;982;498;43;"LEGA NORD V.D'AOSTE";21,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"COGNE";1206;591;982;498;43;"AUT.LIB. DEMOCRATIE";371,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"COURMAYEUR";2451;1256;1972;1019;47;"FIAMMA TRICOLORE";17,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"COURMAYEUR";2451;1256;1972;1019;47;"VALLEE D'AOSTE";662,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"COURMAYEUR";2451;1256;1972;1019;47;"ALTERNATIVA SOCIALE MUSSOLINI";38,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"COURMAYEUR";2451;1256;1972;1019;47;"UNIONE DI CENTRO";82,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"COURMAYEUR";2451;1256;1972;1019;47;"FI-AN";625,00;"";"LATTANZI";"Massimo";"M"
"VALLE D'AOSTA";"COURMAYEUR";2451;1256;1972;1019;47;"PARTITO PENSIONATI";21,00;"";"BERTONE";"Marco";"M"
"VALLE D'AOSTA";"COURMAYEUR";2451;1256;1972;1019;47;"LEGA NORD V.D'AOSTE";26,00;"";"FALCO";"Vincenzo";"M"
"VALLE D'AOSTA";"COURMAYEUR";2451;1256;1972;1019;47;"AUT.LIB. DEMOCRATIE";404,00;"E";"NICCO";"ROBERTO";"M"
"VALLE D'AOSTA";"DONNAS";2196;1071;1880;947;55;"FIAMMA TRICOLORE";5,00;"";"PIETRANTONIO";"Marcello";"M"
"VALLE D'AOSTA";"DONNAS";2196;1071;1880;947;55;"VALLEE D'AOSTE";564,00;"";"VIERIN";"Marco";"M"
"VALLE D'AOSTA";"DONNAS";2196;1071;1880;947;55;"ALTERNATIVA SOCIALE MUSSOLINI";20,00;"";"MUSSOLINI";"ALESSANDRA";"F"
"VALLE D'AOSTA";"DONNAS";2196;1071;1880;947;55;"UNIONE DI CENTRO";44,00;"";"BRINGHEN";"Luca";"F"
"VALLE D'AOSTA";"DONNAS";2196;1071;1880;947;55;"FI-AN";172,00;"";"LATTANZI";"Massimo";"M"
